GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,4,GAME_OVER,9,0,2,2,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
879079583,Connect4,5,GAME_OVER,11,0,2,3,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,4,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,5,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
-428737539,Connect4,3,GAME_OVER,7,0,2,6,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
-1745970416,Connect4,4,GAME_OVER,9,0,2,7,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,8,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,9,2,Basic MCTS,2,1,1,RandomPlayer,Basic MCTS,-1.0,1.0,RandomPlayer,RandomPlayer,Basic MCTS,0
346665430,Connect4,3,GAME_OVER,7,0,2,10,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
879079583,Connect4,4,GAME_OVER,9,0,2,11,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,12,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,13,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
-428737539,Connect4,3,GAME_OVER,7,0,2,14,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
-1745970416,Connect4,3,GAME_OVER,7,0,2,15,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,16,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,17,2,Basic MCTS,2,1,1,RMHC,Basic MCTS,-1.0,1.0,RMHC,RMHC,Basic MCTS,0
346665430,Connect4,5,GAME_OVER,11,0,2,18,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
879079583,Connect4,6,GAME_OVER,13,0,2,19,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,20,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,21,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
-428737539,Connect4,5,GAME_OVER,11,0,2,22,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
-1745970416,Connect4,4,GAME_OVER,9,0,2,23,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,24,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,25,2,Basic MCTS,2,1,1,OSLA,Basic MCTS,-1.0,1.0,OSLA,OSLA,Basic MCTS,0
346665430,Connect4,3,GAME_OVER,8,1,2,26,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
879079583,Connect4,10,GAME_OVER,22,1,2,27,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
-619666105,Connect4,3,GAME_OVER,8,1,2,28,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
503938916,Connect4,3,GAME_OVER,8,1,2,29,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
-428737539,Connect4,9,GAME_OVER,20,1,2,30,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
-1745970416,Connect4,3,GAME_OVER,8,1,2,31,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
-1436161366,Connect4,6,GAME_OVER,14,1,2,32,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
-1151041315,Connect4,6,GAME_OVER,14,1,2,33,1,RandomPlayer,1,2,2,Basic MCTS,RandomPlayer,1.0,-1.0,Basic MCTS,Basic MCTS,RandomPlayer,1
346665430,Connect4,5,GAME_OVER,12,1,2,34,1,RandomPlayer,1,2,2,RMHC,RandomPlayer,1.0,-1.0,RMHC,RMHC,RandomPlayer,1
879079583,Connect4,9,GAME_OVER,20,1,2,35,1,RandomPlayer,1,2,2,RMHC,RandomPlayer,1.0,-1.0,RMHC,RMHC,RandomPlayer,1
-619666105,Connect4,7,GAME_OVER,16,1,2,36,1,RandomPlayer,1,2,2,RMHC,RandomPlayer,1.0,-1.0,RMHC,RMHC,RandomPlayer,1
503938916,Connect4,4,GAME_OVER,9,0,2,37,2,RandomPlayer,2,1,1,RMHC,RandomPlayer,-1.0,1.0,RMHC,RMHC,RandomPlayer,0
-428737539,Connect4,7,GAME_OVER,15,0,2,38,2,RandomPlayer,2,1,1,RMHC,RandomPlayer,-1.0,1.0,RMHC,RMHC,RandomPlayer,0
-1745970416,Connect4,6,GAME_OVER,14,1,2,39,1,RandomPlayer,1,2,2,RMHC,RandomPlayer,1.0,-1.0,RMHC,RMHC,RandomPlayer,1
-1436161366,Connect4,5,GAME_OVER,11,0,2,40,2,RandomPlayer,2,1,1,RMHC,RandomPlayer,-1.0,1.0,RMHC,RMHC,RandomPlayer,0
-1151041315,Connect4,10,GAME_OVER,22,1,2,41,1,RandomPlayer,1,2,2,RMHC,RandomPlayer,1.0,-1.0,RMHC,RMHC,RandomPlayer,1
346665430,Connect4,14,GAME_OVER,30,1,2,42,1,RandomPlayer,1,2,2,OSLA,RandomPlayer,1.0,-1.0,OSLA,OSLA,RandomPlayer,1
879079583,Connect4,5,GAME_OVER,12,1,2,43,1,RandomPlayer,1,2,2,OSLA,RandomPlayer,1.0,-1.0,OSLA,OSLA,RandomPlayer,1
-619666105,Connect4,9,GAME_OVER,19,0,2,44,2,RandomPlayer,2,1,1,OSLA,RandomPlayer,-1.0,1.0,OSLA,OSLA,RandomPlayer,0
503938916,Connect4,10,GAME_OVER,21,0,2,45,2,RandomPlayer,2,1,1,OSLA,RandomPlayer,-1.0,1.0,OSLA,OSLA,RandomPlayer,0
-428737539,Connect4,3,GAME_OVER,8,1,2,46,1,RandomPlayer,1,2,2,OSLA,RandomPlayer,1.0,-1.0,OSLA,OSLA,RandomPlayer,1
-1745970416,Connect4,4,GAME_OVER,10,1,2,47,1,RandomPlayer,1,2,2,OSLA,RandomPlayer,1.0,-1.0,OSLA,OSLA,RandomPlayer,1
-1436161366,Connect4,13,GAME_OVER,28,1,2,48,1,RandomPlayer,1,2,2,OSLA,RandomPlayer,1.0,-1.0,OSLA,OSLA,RandomPlayer,1
